Date,Product ID,quantity sold,Selling Price,store id,product name,Lead Time,warehouse id,location,Supplier ID,supplier name,order date,delivery date,last Inventory update,Quantity on hand,reorder Level,Demand,Order Quantity,Cost Price
8/15/2022,1001,5,25.99,1001,Organic Cotton T-Shirt,14,1001,"New York, USA",1001,Fair Trade Clothing Co.,08-01-2022,8/15/2022,8/14/2022,25,15,10,15,127.95
8/16/2022,1002,3,39.99,1002,Handmade Ceramic Mug,21,1002,"Tokyo, Japan",1002,Artisan Pottery Studio,08-03-2022,8/16/2022,8/15/2022,22,12,8,10,119.97
8/17/2022,1003,4,14.99,1003,Bamboo Toothbrush Set,7,1003,"Sydney, Australia",1003,Eco-Friendly Goods Co.,08-04-2022,8/17/2022,8/16/2022,30,18,12,15,59.97
8/18/2022,1004,2,59.99,1004,Handwoven Rug,28,1004,"Cairo, Egypt",1004,Craftsmen Cooperative,08-05-2022,8/18/2022,8/17/2022,18,10,6,8,119.98
8/19/2022,1005,6,19.99,1005,Recycled Paper Notebook,10,1005,"Paris, France",1005,Green Stationery Co.,08-06-2022,8/19/2022,8/18/2022,28,15,12,15,129.94
8/20/2022,1006,7,24.99,1006,Handmade Soap Set,14,1006,"Berlin, Germany",1006,Natural Beauty Co.,08-07-2022,8/20/2022,8/19/2022,35,18,12,15,174.93
8/21/2022,1007,3,49.99,1007,Handmade Leather Wallet,21,1007,"Cape Town, South Africa",1007,Artisan Leather Goods,08-08-2022,8/21/2022,8/20/2022,27,12,8,10,249.91
8/22/2022,1008,5,29.99,1008,Fair Trade Coffee Beans,12,1008,"Rio de Janeiro, Brazil",1008,Fair Trade Coffee Co.,08-09-2022,8/22/2022,8/21/2022,32,18,12,15,149.95
8/23/2022,1009,4,34.99,1009,Handwoven Basket,28,1009,"Istanbul, Turkey",1009,Craftsmen Cooperative,08-10-2022,8/23/2022,8/22/2022,25,10,6,8,149.96
9/15/2022,1001,5,12.99,1001,Organic Cotton T-Shirt,14,101,New York,2001,EcoFashion Inc.,09-01-2022,9/14/2022,9/13/2022,20,15,10,5,64.95
9/16/2022,1002,3,24.99,1002,Handwoven Raffia Basket,21,102,Los Angeles,2002,Artisan Cooperative,09-02-2022,9/15/2022,9/14/2022,12,10,5,3,74.97
9/17/2022,1003,7,9.99,1003,Bamboo Toothbrush Set,7,103,Chicago,2003,EcoBrush Co.,09-03-2022,9/16/2022,9/15/2022,25,20,10,7,69.93
9/18/2022,1004,4,19.99,1004,Handmade Ceramic Mug,10,104,Miami,2004,Ceramic Artisans,09-04-2022,9/17/2022,9/16/2022,18,15,5,4,89.96
9/20/2022,1005,6,14.99,1005,Recycled Paper Notebook,12,105,Seattle,2005,GreenPaper Co.,09-05-2022,9/19/2022,9/18/2022,22,20,10,6,94.94
9/22/2022,1006,2,39.99,1006,Handmade Leather Journal,15,106,Boston,2006,Leather Craftsmen,09-06-2022,9/21/2022,9/20/2022,15,10,5,2,79.98
9/24/2022,1007,8,17.99,1007,Organic Cotton Scarf,11,107,San Francisco,2007,EcoFashion Inc.,09-07-2022,9/23/2022,9/22/2022,28,15,10,8,143.92
9/27/2022,1008,1,49.99,1008,Handwoven Raffia Bag,28,108,New York,2008,Artisan Cooperative,09-08-2022,9/26/2022,9/25/2022,10,5,2,1,50
9/29/2022,1009,5,11.99,1009,Bamboo Toothbrush Set,7,109,Los Angeles,2009,EcoBrush Co.,09-09-2022,9/28/2022,9/27/2022,20,20,10,5,69.95
01-01-2022,1001,5,15.99,1001,Organic Cotton T-Shirt,7,1001,"New York, USA",1001,EcoFashion Inc.,01-05-2022,01-12-2022,01-10-2022,10,5,5,5,79.95
01-02-2022,1002,3,24.99,1002,Sustainable Denim Jeans,10,1002,"Los Angeles, USA",1002,GreenDenim Co.,01-08-2022,1/18/2022,1/15/2022,8,3,3,3,74.97
01-03-2022,1003,4,12.99,1003,Recycled Plastic Bottle,5,1003,"Chicago, USA",1003,EcoBottles Inc.,01-09-2022,1/14/2022,1/13/2022,12,4,4,4,55.96
01-04-2022,1004,2,34.99,1004,Handmade Artisanal Rug,15,1004,"Mumbai, India",1004,Karigar Crafts,01-11-2022,1/26/2022,1/23/2022,6,2,2,2,119.98
01-05-2022,1005,6,19.99,1005,Bamboo Toothbrush Set,3,1005,"Sydney, Australia",1005,EcoBamboo Co.,01-12-2022,1/15/2022,1/14/2022,15,6,6,6,119.94
